"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TMAX","TMIN"
"USC00424100","HOVENWEEP NATIONAL MONUMENT, UT US","37.3858","-109.075","1597.2","1996-05","0.09","84.8","42.5"
"USC00424100","HOVENWEEP NATIONAL MONUMENT, UT US","37.3858","-109.075","1597.2","1996-06","0.80","92.1","51.7"
"USC00424100","HOVENWEEP NATIONAL MONUMENT, UT US","37.3858","-109.075","1597.2","1996-07","2.20","97.2","60.0"
"USC00424100","HOVENWEEP NATIONAL MONUMENT, UT US","37.3858","-109.075","1597.2","1996-08","0.17","94.5","56.9"
"USC00424100","HOVENWEEP NATIONAL MONUMENT, UT US","37.3858","-109.075","1597.2","1996-10","3.35","69.1","36.6"
"USC00424100","HOVENWEEP NATIONAL MONUMENT, UT US","37.3858","-109.075","1597.2","1996-11","2.46","53.3","27.6"
"USC00424100","HOVENWEEP NATIONAL MONUMENT, UT US","37.3858","-109.075","1597.2","1996-12","0.59","43.7","21.3"
"USC00424100","HOVENWEEP NATIONAL MONUMENT, UT US","37.3858","-109.075","1597.2","1997-01","1.65","39.3","17.1"
"USC00424100","HOVENWEEP NATIONAL MONUMENT, UT US","37.3858","-109.075","1597.2","1997-03","0.06","64.4","24.7"
"USC00424100","HOVENWEEP NATIONAL MONUMENT, UT US","37.3858","-109.075","1597.2","1997-04","1.32","64.4","30.6"
"USC00424100","HOVENWEEP NATIONAL MONUMENT, UT US","37.3858","-109.075","1597.2","1997-05","0.75","80.8","41.7"
"USC00424100","HOVENWEEP NATIONAL MONUMENT, UT US","37.3858","-109.075","1597.2","1997-07","2.20","93.4","54.8"
"USC00424100","HOVENWEEP NATIONAL MONUMENT, UT US","37.3858","-109.075","1597.2","1997-08","0.55","90.4","56.6"
"USC00424100","HOVENWEEP NATIONAL MONUMENT, UT US","37.3858","-109.075","1597.2","1997-09","2.61","85.4","51.1"
"USC00424100","HOVENWEEP NATIONAL MONUMENT, UT US","37.3858","-109.075","1597.2","1997-10","0.75","69.5","34.5"
"USC00424100","HOVENWEEP NATIONAL MONUMENT, UT US","37.3858","-109.075","1597.2","1997-11","0.78","56.0","26.1"
"USC00424100","HOVENWEEP NATIONAL MONUMENT, UT US","37.3858","-109.075","1597.2","1997-12","0.44","44.9","19.5"
"USC00424100","HOVENWEEP NATIONAL MONUMENT, UT US","37.3858","-109.075","1597.2","1998-02","1.65","48.0","23.6"
"USC00424100","HOVENWEEP NATIONAL MONUMENT, UT US","37.3858","-109.075","1597.2","1998-03","0.75","59.4","25.1"
"USC00424100","HOVENWEEP NATIONAL MONUMENT, UT US","37.3858","-109.075","1597.2","1998-04","0.16","66.2","28.3"
"USC00424100","HOVENWEEP NATIONAL MONUMENT, UT US","37.3858","-109.075","1597.2","1998-05","0.20","79.0","38.4"
"USC00424100","HOVENWEEP NATIONAL MONUMENT, UT US","37.3858","-109.075","1597.2","1998-06","0.00","88.8","43.3"
"USC00424100","HOVENWEEP NATIONAL MONUMENT, UT US","37.3858","-109.075","1597.2","1998-07","0.32","97.5","61.6"
"USC00424100","HOVENWEEP NATIONAL MONUMENT, UT US","37.3858","-109.075","1597.2","1998-08","0.00","95.0","56.8"
"USC00424100","HOVENWEEP NATIONAL MONUMENT, UT US","37.3858","-109.075","1597.2","1998-09","0.00","88.3","49.9"
"USC00424100","HOVENWEEP NATIONAL MONUMENT, UT US","37.3858","-109.075","1597.2","1998-10","2.91",,
"USC00424100","HOVENWEEP NATIONAL MONUMENT, UT US","37.3858","-109.075","1597.2","1998-11","1.93",,
"USC00424100","HOVENWEEP NATIONAL MONUMENT, UT US","37.3858","-109.075","1597.2","1998-12","0.07","47.0","15.1"
"USC00424100","HOVENWEEP NATIONAL MONUMENT, UT US","37.3858","-109.075","1597.2","1999-01","0.27","49.7","18.7"
"USC00424100","HOVENWEEP NATIONAL MONUMENT, UT US","37.3858","-109.075","1597.2","1999-02","0.39","54.3","20.4"
"USC00424100","HOVENWEEP NATIONAL MONUMENT, UT US","37.3858","-109.075","1597.2","1999-03","0.15","65.8","25.9"
"USC00424100","HOVENWEEP NATIONAL MONUMENT, UT US","37.3858","-109.075","1597.2","1999-04","2.26","61.7","30.6"
"USC00424100","HOVENWEEP NATIONAL MONUMENT, UT US","37.3858","-109.075","1597.2","1999-05","0.64","75.3","38.4"
"USC00424100","HOVENWEEP NATIONAL MONUMENT, UT US","37.3858","-109.075","1597.2","1999-06","0.32","87.9","46.5"
"USC00424100","HOVENWEEP NATIONAL MONUMENT, UT US","37.3858","-109.075","1597.2","1999-07","0.98","93.8","59.2"
"USC00424100","HOVENWEEP NATIONAL MONUMENT, UT US","37.3858","-109.075","1597.2","1999-08","2.34","89.5","58.2"
"USC00424100","HOVENWEEP NATIONAL MONUMENT, UT US","37.3858","-109.075","1597.2","1999-09","0.68","81.2","43.5"
"USC00424100","HOVENWEEP NATIONAL MONUMENT, UT US","37.3858","-109.075","1597.2","1999-10","0.00",,"29.4"
"USC00424100","HOVENWEEP NATIONAL MONUMENT, UT US","37.3858","-109.075","1597.2","1999-11","0.10","63.2","22.0"
"USC00424100","HOVENWEEP NATIONAL MONUMENT, UT US","37.3858","-109.075","1597.2","1999-12","0.00","45.4","12.1"
"USC00424100","HOVENWEEP NATIONAL MONUMENT, UT US","37.3858","-109.075","1597.2","2000-01","1.80","48.0","18.5"
"USC00424100","HOVENWEEP NATIONAL MONUMENT, UT US","37.3858","-109.075","1597.2","2000-02","0.44","53.2","24.1"
"USC00424100","HOVENWEEP NATIONAL MONUMENT, UT US","37.3858","-109.075","1597.2","2000-03","2.40","56.1","26.8"
