iter	RMSE
187	6991.524269
188	6987.869941
189	6984.444304
190	6976.609771
191	6974.619005
192	6968.798702
193	6964.374716
194	6961.36563
195	6958.493343
196	6955.735217
197	6951.486301
198	6947.404164
199	6940.172521
200	6935.848196
201	6933.031252
202	6929.738162
203	6920.32448
204	6916.519918
205	6913.37624
206	6909.862597
207	6906.247723
208	6900.896652
209	6896.870194
210	6894.315395
211	6889.962095
212	6886.616497
213	6882.642074
214	6880.66662
215	6874.195625
216	6871.447376
217	6866.195797
218	6863.179478
219	6859.802079
220	6856.223182
221	6852.926901
222	6850.146196
223	6842.577203
224	6838.118985
225	6835.235071
226	6830.326457
227	6827.53055
228	6824.694779
229	6818.372348
230	6815.200266
231	6811.83533
232	6808.604128
233	6806.223569
234	6804.199536
235	6801.385125
236	6798.208274
237	6794.012945
238	6791.36609
239	6785.7568
240	6782.70917
241	6779.471982
242	6776.704823
243	6763.179302
244	6756.824653
245	6754.209381
246	6750.952449
247	6747.642624
248	6743.270744
249	6741.512242
250	6735.806484
251	6731.859511
252	6728.974356
253	6725.84288
254	6723.221728
255	6720.733688
256	6716.463377
257	6713.144951
258	6710.045411
259	6707.55988
260	6705.865259
261	6703.040719
262	6700.45822
263	6695.14355
264	6692.591789
265	6689.914354
266	6687.661096
267	6685.216639
268	6683.049573
269	6680.811511
270	6678.895169
271	6672.705496
272	6665.322865
273	6662.956509
274	6660.841217
275	6658.6946
276	6655.87538
277	6653.932375
278	6651.883794
279	6648.581324
280	6645.224926
281	6637.050935
282	6634.783737
283	6630.729278
284	6628.637522
285	6625.376318
286	6622.879263
287	6618.099881
288	6616.236908
289	6613.287366
290	6610.934717
291	6608.769828
292	6604.600375
293	6602.409685
294	6600.420998
295	6595.603641
296	6592.886716
297	6589.894215
298	6583.59685
299	6581.167153
300	6577.073593
301	6574.972662
302	6572.641299
303	6567.612075
304	6565.31055
305	6563.450112
306	6557.443967
307	6550.109714
308	6547.701178
309	6546.548291
310	6543.765358
311	6540.503701
312	6534.061103
313	6532.112526
314	6529.399684
315	6522.727706
316	6515.841168
317	6513.159786
318	6511.000753
319	6508.181423
320	6505.609942
321	6503.225533
322	6500.489268
323	6496.538802
324	6494.668019
325	6490.663198
326	6488.671526
327	6483.595683
328	6481.005431
329	6478.337934
330	6475.193042
331	6474.006131
332	6472.122786
333	6470.743768
334	6466.81561
335	6465.006584
336	6461.103667
337	6456.218675
338	6452.597215
339	6451.520934
340	6449.737152
341	6448.330494
342	6446.457529
343	6443.167243
344	6435.992569
345	6434.993693
346	6430.497919
347	6428.034315
348	6426.222794
349	6424.446859
350	6421.031164
351	6419.240155
352	6417.545651
353	6414.682574
354	6413.77767
355	6412.394854
356	6409.082841
357	6406.37094
358	6404.922186
359	6402.391686
360	6401.125265
361	6399.466529
362	6396.902338
363	6393.49717
364	6391.916635
365	6387.318926
366	6385.014887
367	6382.536904
368	6377.127382
369	6366.520268
370	6365.093822
371	6363.579498
372	6362.024495
373	6359.951142
374	6357.56647
375	6355.210433
376	6352.930719
377	6351.490281
378	6346.750813
379	6344.577597
380	6339.558759
381	6338.201532
382	6336.906194
383	6335.854768
384	6333.772966
385	6331.421519
386	6330.325406
387	6328.427432
388	6326.307087
389	6323.35729
390	6319.306033
391	6309.192092
392	6307.048438
393	6305.048607
394	6298.048217
395	6294.922908
396	6293.400961
397	6287.031231
398	6282.756247
399	6281.817501
400	6279.897646
401	6278.632554
402	6276.795468
403	6274.691487
404	6273.201527
405	6271.212207
406	6268.499103
407	6266.126838
408	6264.734958
409	6261.99856
410	6259.91974
411	6258.139293
412	6256.819169
413	6254.930364
414	6253.060507
415	6249.61018
416	6247.166967
417	6245.462279
418	6243.676645
419	6241.198937
420	6238.975936
421	6232.999501
422	6227.290352
423	6226.065164
424	6225.318668
425	6221.101831
426	6214.691596
427	6212.103717
428	6209.700496
429	6208.023176
430	6206.692477
431	6202.7622
432	6201.175588
433	6199.27775
434	6196.924205
435	6191.48769
436	6186.620321
437	6181.673752
438	6179.78801
439	6178.238802
440	6173.733581
441	6171.835861
442	6170.137436
443	6168.512819
444	6166.021507
445	6160.301038
446	6159.241578
447	6154.313033
448	6152.82496
449	6151.34953
450	6149.203247
451	6147.644407
452	6145.71697
453	6139.759487
454	6137.847883
455	6137.025614
456	6134.074296
457	6132.595717
458	6127.139065
459	6125.131636
460	6122.749405
461	6119.96904
462	6118.481152
463	6116.981837
464	6115.547461
465	6112.716269
466	6110.946207
467	6108.674451
468	6104.505301
469	6101.733967
470	6100.282674
471	6092.143183
472	6090.772291
473	6089.518567
474	6087.8984
475	6086.631783
476	6084.768106
477	6082.412998
478	6081.215871
479	6079.97069
480	6078.828148
481	6074.925255
482	6070.941394
483	6070.151296
484	6063.108928
485	6060.891807
486	6060.135354
487	6056.397968
488	6051.139198
489	6049.86821
490	6049.022177
491	6047.124381
492	6044.568257
493	6041.645338
494	6039.151903
495	6038.153773
496	6035.953685
497	6031.519006
498	6024.958447
499	6020.684273
500	6014.36514
501	6013.255666
502	6011.743696
503	6009.067553
504	6007.837792
505	6005.615625
506	6004.173813
507	5999.404623
508	5997.044935
509	5994.355702
510	5993.544426
511	5990.874319
512	5983.350858
513	5981.973415
514	5980.202632
515	5978.965121
516	5977.94407
517	5975.689656
518	5971.568635
519	5970.182551
520	5969.207174
521	5966.996858
522	5965.939776
523	5964.774019
524	5959.869084
525	5958.553514
526	5957.299073
527	5954.90116
528	5952.548956
529	5950.626308
530	5946.319231
531	5944.752709
532	5943.756131
533	5942.71543
534	5940.864819
535	5938.864674
536	5936.06655
537	5934.122886
538	5931.485779
539	5927.790446
540	5927.038708
541	5925.01552
542	5922.391186
543	5920.401304
544	5916.159678
545	5912.606062
546	5910.713832
547	5906.173203
548	5904.969864
549	5902.115599
550	5900.304807
551	5898.42562
552	5896.251491
553	5893.637205
554	5891.379306
555	5889.497348
556	5887.342518
557	5885.37827
558	5883.724689
559	5882.143604
560	5880.586341
561	5878.260228
562	5877.046581
563	5874.643151
564	5872.13486
565	5867.522967
566	5866.366188
567	5864.079311
568	5862.924167
569	5861.993568
570	5858.725491
571	5857.883211
572	5857.246384
573	5856.637926
574	5855.593751
575	5854.369196
576	5852.147308
577	5848.454547
578	5846.103966
579	5845.540388
580	5843.330415
581	5842.79129
582	5842.276073
583	5839.97052
584	5838.971558
585	5834.926802
586	5833.425469
587	5827.351879
588	5822.459943
589	5821.023176
590	5817.103784
591	5813.741142
592	5812.863787
593	5810.817945
594	5808.922319
595	5808.056364
596	5803.956778
597	5802.081575
598	5800.641194
599	5798.211993
600	5797.062116
601	5795.021679
602	5792.619855
603	5791.511481
604	5790.437779
605	5788.883793
606	5787.468235
607	5786.441462
608	5784.101407
609	5782.999082
610	5779.106716
611	5777.560647
612	5776.116514
613	5772.016786
614	5768.522416
615	5767.742334
616	5766.721776
617	5764.833787
618	5763.672495
619	5763.062152
620	5761.228144
621	5760.169366
622	5759.753485
623	5757.941493
624	5756.928312
625	5756.180946
626	5752.351725
627	5751.381727
628	5747.916589
629	5746.493023
630	5746.25819
631	5744.794849
632	5743.349482
633	5741.344977
634	5740.0935
635	5738.711476
636	5737.45966
637	5735.319409
638	5734.225342
639	5730.134975
640	5729.217603
641	5728.158705
642	5727.083643
643	5724.92967
644	5723.161391
645	5722.22893
646	5721.359008
647	5719.568266
648	5717.041631
649	5715.777724
650	5714.740885
651	5713.26217
652	5709.666441
653	5706.593005
654	5701.861656
655	5701.186352
656	5699.032637
657	5697.360561
658	5694.156125
659	5692.706701
660	5691.710035
661	5691.211498
662	5690.205828
663	5689.447799
664	5688.710702
665	5687.319565
666	5686.103405
667	5684.974353
668	5681.069683
669	5678.974856
670	5678.079898
671	5677.223715
672	5676.192401
673	5672.407385
674	5671.587568
675	5669.754781
676	5667.973428
677	5666.2888
678	5664.457408
679	5662.804228
680	5660.812247
681	5658.486053
682	5656.507023
683	5655.720512
684	5655.070797
685	5653.404508
686	5651.896158
687	5647.684786
688	5646.430446
689	5645.532487
690	5644.669718
691	5643.915786
692	5642.970383
693	5641.149572
694	5640.52729
695	5638.237234
696	5636.129374
697	5631.850056
698	5631.029907
699	5629.646678
700	5623.93023
701	5622.238667
702	5621.583452
703	5619.227894
704	5618.329262
705	5617.623031
706	5615.841774
707	5614.462312
708	5613.148027
709	5611.354365
710	5610.567707
711	5608.788152
712	5605.365868
713	5604.643159
714	5604.044618
715	5603.353036
716	5602.710131
717	5597.045689
718	5595.554342
719	5594.76027
720	5594.097359
721	5592.408632
722	5589.130964
723	5586.095757
724	5583.971201
725	5583.13378
726	5582.946095
727	5581.906556
728	5580.914676
729	5576.679907
730	5573.316458
731	5572.669974
732	5572.136
733	5566.747677
734	5565.47018
735	5563.697629
736	5563.062959
737	5559.000761
738	5557.386333
739	5555.84284
740	5555.080201
741	5554.47567
742	5553.70819
743	5552.390042
744	5551.698729
745	5550.0061
746	5549.271142
747	5548.388819
748	5546.816096
749	5545.856734
750	5544.396331
751	5544.233661
752	5543.540096
753	5542.960412
754	5541.483542
755	5539.768123
756	5539.254367
757	5538.699436
758	5536.118826
759	5535.411327
760	5532.988354
761	5530.254549
762	5526.810062
763	5526.144339
764	5525.964977
765	5525.432887
766	5523.898235
767	5523.173148
768	5520.860671
769	5520.537992
770	5518.700834
771	5517.30969
772	5514.821034
773	5514.200597
774	5511.68518
775	5510.65072
776	5509.08944
777	5507.432935
778	5503.485767
779	5502.770211
780	5500.625507
781	5496.765211
782	5495.567408
783	5495.083763
784	5487.595089
785	5485.868291
786	5483.185789
787	5481.683007
788	5477.814416
789	5474.756366
790	5473.261374
791	5472.812573
792	5468.85958
793	5468.226572
794	5467.473251
795	5466.10222
796	5465.237724
797	5463.55319
798	5460.87334
799	5460.393447
800	5458.964533
801	5458.276279
802	5457.0976
803	5454.035888
804	5446.827023
805	5442.626258
806	5440.866784
807	5439.647939
808	5438.578195
809	5437.448919
810	5431.699289
811	5428.277616
812	5427.623317
813	5426.397098
814	5424.523399
815	5422.625839
816	5421.179587
817	5418.228433
818	5416.92559
819	5415.004553
820	5413.951609
821	5411.106825
822	5404.41016
823	5403.155603
824	5399.645097
825	5398.945778
826	5398.351798
827	5396.130665
828	5395.52407
829	5392.889696
830	5392.287393
831	5391.519195
832	5389.832077
833	5389.22533
834	5388.77566
835	5386.840438
836	5386.260681
837	5383.364023
838	5381.596512
839	5376.442376
840	5374.991271
841	5374.18157
842	5372.637482
843	5371.392132
844	5370.801554
845	5369.234664
846	5364.453976
847	5362.763975
848	5362.332268
849	5360.927053
850	5360.349275
851	5359.010713
852	5356.145022
853	5354.736917
854	5353.020675
855	5351.426629
856	5348.895569
857	5348.338512
858	5347.799655
859	5345.351538
860	5344.063788
861	5341.83019
862	5340.840302
863	5338.48498
864	5335.886339
865	5334.938123
866	5333.650292
867	5331.807657
868	5329.760249
869	5328.78532
870	5327.568786
871	5326.51757
872	5325.414057
873	5323.157071
874	5322.115827
875	5317.676527
876	5316.102246
877	5312.167232
878	5310.296826
879	5309.759455
880	5309.259495
881	5308.215131
882	5305.879804
883	5299.798046
884	5297.831584
885	5296.200369
886	5293.977402
887	5291.571022
888	5289.656682
889	5289.165366
890	5288.216129
891	5285.053092
892	5282.920287
893	5282.175002
894	5279.962053
895	5278.301712
896	5277.967553
897	5275.212072
898	5272.599144
899	5270.703599
900	5269.04664
901	5266.546949
902	5265.516134
903	5265.142295
904	5264.160708
905	5262.428601
906	5260.937121
907	5259.949271
908	5259.434897
909	5258.43706
910	5255.778058
911	5255.226574
912	5253.236408
913	5252.297477
914	5251.682726
915	5250.260338
916	5249.770345
917	5248.557472
918	5247.397903
919	5246.639932
920	5246.095415
921	5245.611383
922	5241.469982
923	5238.954711
924	5237.843465
925	5237.400959
926	5234.525122
927	5233.727419
928	5232.553793
929	5228.590623
930	5227.830613
931	5223.604181
932	5221.918283
933	5220.414575
934	5219.026307
935	5218.028984
936	5217.311631
937	5215.85976
938	5212.72861
939	5211.446106
940	5208.955174
941	5207.584323
942	5205.068517
943	5204.56616
944	5203.803114
945	5201.135934
946	5199.794932
947	5199.130765
948	5197.491122
949	5195.508265
950	5192.736674
951	5190.411142
952	5189.348906
953	5188.531048
954	5186.920068
955	5185.353324
956	5184.411713
957	5182.492335
958	5179.479939
959	5177.692334
960	5176.061099
961	5175.875341
962	5173.884457
963	5172.871548
964	5171.618123
965	5169.490104
966	5168.936238
967	5166.802419
968	5165.83491
969	5163.527281
970	5160.325085
971	5159.823813
972	5159.38695
973	5158.713565
974	5157.908751
975	5156.285974
976	5154.286745
977	5153.893164
978	5152.294468
979	5151.687034
980	5149.968878
981	5148.212598
982	5144.473935
983	5142.857441
984	5141.509577
985	5140.975952
986	5139.957855
987	5137.849253
988	5135.998868
989	5134.423056
990	5133.016179
991	5131.962745
992	5131.256017
993	5129.95698
994	5127.831728
995	5126.281606
996	5122.557324
997	5120.551039
998	5119.772547
999	5117.830732
