STATE,MONTH,PRCP,TMAX,TMIN,STATE_CODE
AZ,2001-11-01,0.24660714285714286,70.23695652173913,42.38163265306122,04
AZ,2001-12-01,0.7916981132075472,57.628888888888895,31.400000000000002,04
AZ,2002-01-01,0.20157894736842105,59.44651162790697,31.577083333333334,04
AZ,2002-02-01,0.10109090909090908,65.875,33.63695652173913,04
AZ,2002-03-01,0.22000000000000003,70.06222222222223,36.97659574468085,04
AZ,2002-04-01,0.1772413793103448,81.59375,48.85833333333333,04
AZ,2002-05-01,0.003636363636363636,87.484,52.449999999999996,04
AZ,2002-06-01,0.0013793103448275863,100.05833333333334,64.46938775510205,04
AZ,2002-07-01,1.208793103448276,99.07659574468086,70.44166666666666,04
AZ,2002-08-01,0.725,98.24285714285713,68.1313725490196,04
AZ,2002-09-01,1.7798245614035089,91.95531914893617,63.94255319148937,04
AZ,2002-10-01,0.5790000000000001,77.97142857142858,49.55744680851063,04
AZ,2002-11-01,0.5648275862068965,69.26122448979592,41.05652173913043,04
AZ,2002-12-01,0.7778181818181819,56.744680851063826,32.52391304347826,04
AZ,2003-01-01,0.32389830508474576,66.25,37.50416666666667,04
AZ,2003-02-01,2.546140350877193,61.06666666666667,37.46530612244898,04
AZ,2003-03-01,1.0408474576271185,67.97021276595744,40.13617021276596,04
AZ,2003-04-01,0.2522033898305085,74.80238095238094,44.34375,04
AZ,2003-05-01,0.0817741935483871,87.8530612244898,55.6078431372549,04
AZ,2003-06-01,0.04721311475409836,96.96600000000001,63.1530612244898,04
AZ,2003-07-01,1.2217241379310344,101.88936170212766,72.06875000000001,04
AZ,2003-08-01,1.8957377049180328,96.4078431372549,70.0320754716981,04
AZ,2003-09-01,1.0456896551724137,92.67142857142856,63.263461538461534,04
AZ,2003-10-01,0.36442622950819675,85.84444444444445,55.27142857142857,04
AZ,2003-11-01,1.0358333333333334,64.64565217391304,39.78333333333333,04
AZ,2003-12-01,0.4625423728813559,60.225531914893615,32.406976744186046,04
AZ,2004-01-01,0.796949152542373,58.42553191489362,34.29347826086956,04
AZ,2004-02-01,1.0143636363636364,57.86,32.49148936170213,04
AZ,2004-03-01,0.848421052631579,76.03111111111112,46.32888888888889,04
AZ,2004-04-01,1.2773684210526317,76.6531914893617,47.59130434782608,04
AZ,2004-05-01,0.0033333333333333335,88.78399999999999,55.70204081632653,04
AZ,2004-06-01,0.07081967213114755,96.25185185185185,61.62592592592593,04
AZ,2004-07-01,1.034262295081967,98.30784313725489,68.45192307692308,04
AZ,2004-08-01,1.3417241379310343,95.34375,67.36122448979592,04
AZ,2004-09-01,1.4195,90.494,61.013999999999996,04
AZ,2004-10-01,1.7603278688524588,77.26666666666667,49.88,04
AZ,2004-11-01,1.4131147540983606,61.96346153846154,38.41481481481482,04
AZ,2004-12-01,1.698225806451613,58.306000000000004,33.311764705882354,04
AZ,2005-01-01,2.9696610169491526,58.372549019607845,36.907547169811316,04
AZ,2005-02-01,3.5334999999999996,58.95090909090909,39.473584905660374,04
AZ,2005-03-01,0.8633898305084745,66.5037037037037,39.56428571428571,04
AZ,2005-04-01,0.651206896551724,76.86399999999999,44.46346153846154,04
AZ,2005-05-01,0.19655737704918033,87.6245283018868,54.56346153846154,04
AZ,2005-06-01,0.2501851851851852,94.05744680851063,60.97021276595744,04
AZ,2005-07-01,1.0122950819672132,101.59433962264151,69.3921568627451,04
AZ,2005-08-01,2.3922413793103448,93.85384615384615,66.91960784313726,04
AZ,2005-09-01,0.3794915254237288,91.66326530612245,61.09166666666667,04
AZ,2005-10-01,0.7032203389830509,80.30943396226414,51.23461538461538,04
AZ,2005-11-01,0.06983333333333334,71.20588235294117,40.51020408163265,04
AZ,2005-12-01,0.03103448275862069,62.771111111111104,32.002272727272725,04
AZ,2006-01-01,0.10360655737704919,63.11836734693878,31.289795918367346,04
AZ,2006-02-01,0.04516666666666667,66.94716981132075,33.98653846153846,04
AZ,2006-03-01,1.5593103448275862,65.05,38.236170212765956,04
AZ,2006-04-01,0.23275862068965517,77.99795918367347,45.79183673469388,04
AZ,2006-05-01,0.032711864406779666,90.2938775510204,55.957142857142856,04
AZ,2006-06-01,0.37083333333333335,99.37,66.02941176470588,04
AZ,2006-07-01,2.113928571428571,97.97234042553191,71.70833333333333,04
AZ,2006-08-01,1.9775862068965517,93.27962962962964,67.84629629629629,04
AZ,2006-09-01,1.5510526315789472,86.17115384615384,58.35490196078431,04
AZ,2006-10-01,1.0507272727272727,78.52173913043478,49.02916666666667,04
AZ,2006-11-01,0.042222222222222223,71.04871794871795,39.62051282051282,04
AZ,2006-12-01,0.36363636363636365,58.71666666666666,30.62173913043478,04
AZ,2007-01-01,0.7308620689655172,54.29183673469388,27.862264150943396,04
AZ,2007-02-01,0.45593220338983054,63.805882352941175,34.83018867924528,04
AZ,2007-03-01,0.7913793103448276,73.99411764705881,41.84905660377358,04
AZ,2007-04-01,0.22839285714285715,78.452,46.492,04
AZ,2007-05-01,0.1610344827586207,88.14509803921568,54.765306122448976,04
AZ,2007-06-01,0.11087719298245614,96.602,61.48,04
AZ,2007-07-01,2.2587931034482756,97.93921568627451,69.82,04
AZ,2007-08-01,1.8951785714285714,95.71458333333334,68.57727272727273,04
AZ,2007-09-01,0.9657142857142857,90.67234042553193,61.48222222222222,04
AZ,2007-10-01,0.12410714285714286,82.02553191489362,49.663829787234036,04
AZ,2007-11-01,0.6211764705882353,73.878,42.59591836734693,04
AZ,2007-12-01,2.7342307692307695,55.48,29.982222222222223,04
AZ,2008-01-01,2.145,54.510416666666664,30.180851063829788,04
AZ,2008-02-01,1.1805660377358491,60.62045454545455,33.32222222222222,04
AZ,2008-03-01,0.06351851851851852,70.89148936170213,38.025,04
AZ,2008-04-01,0.005600000000000001,78.7953488372093,43.63913043478261,04
AZ,2008-05-01,0.6316,83.53414634146341,51.45,04
AZ,2008-06-01,0.1362264150943396,97.25510204081633,62.463265306122445,04
AZ,2008-07-01,2.5034,95.54761904761905,68.75227272727273,04
AZ,2008-08-01,2.623269230769231,94.91063829787234,68.53260869565217,04
AZ,2008-09-01,0.6362962962962962,90.83125,61.268750000000004,04
AZ,2008-10-01,0.20320754716981132,81.60227272727273,47.62954545454545,04
AZ,2008-11-01,0.8582352941176471,71.2909090909091,40.910869565217396,04
AZ,2008-12-01,1.8309803921568626,56.88333333333333,32.074418604651164,04
